"Story","Title","Result","Date","Stability","Duration (s)"
"Escribir algo en echobox","Escribir algo en echobox","SUCCESS","2023-04-03T14:39:11.965-05:00[America/Bogota]","0.0","22.41"
"Iniciar Sesión","Inciar Sesión","SUCCESS","2023-04-03T14:02:46.517-05:00[America/Bogota]","0.0","87.64"
