"Story","Title","Result","Date","Stability","Duration (s)"
"Escribir algo en echobox","Escribir algo en echobox","SUCCESS","2023-04-03T14:39:11.965-05:00[America/Bogota]","0.0","22.41"
"Iniciar Sesión","Inciar Sesión","SUCCESS","2023-04-03T14:02:46.517-05:00[America/Bogota]","0.0","87.64"
"Liberia de fotos","Seleccionar foto","SUCCESS","2023-04-03T15:54:15.552-05:00[America/Bogota]","0.0","16.17"
"Combobox Fechas","Elegir una fecha","SUCCESS","2023-04-03T16:39:11.679-05:00[America/Bogota]","0.0","23.96"
