"Story","Title","Result","Date","Stability","Duration (s)"
"Iniciar sesion en la aplicacion myApp","Iniciar sesion","SUCCESS","2023-04-03T13:00:06.649-05:00[America/Bogota]","0.0","24.53"
"Photo Demo","Photo demo","SUCCESS","2023-04-03T14:40:17.881-05:00[America/Bogota]","0.0","23.85"
