"Story","Title","Result","Date","Stability","Duration (s)"
"Echo Box","Echo Box","SUCCESS","2023-04-03T14:20:26.261-05:00[America/Bogota]","0.0","23.11"
"Iniciar sesion en la aplicacion myApp","Iniciar sesion","SUCCESS","2023-04-03T13:00:06.649-05:00[America/Bogota]","0.0","24.53"
"Photo Demo","Echo Box","PENDING","2023-04-03T13:25:25.234-05:00[America/Bogota]","0.0","19.6"
"Photo Demo","Photo demo","SUCCESS","2023-04-03T14:40:17.881-05:00[America/Bogota]","0.0","23.85"
"Picker Demo","Picker demo","SUCCESS","2023-04-03T15:32:32.968-05:00[America/Bogota]","0.0","25.05"
