"Story","Title","Result","Date","Stability","Duration (s)"
"The app Loggin","Login exitoso","SUCCESS","2023-04-03T14:39:09.4545518-05:00[America/Bogota]","0.0","45.73"
"The app Echo Box","Guardar mensaje","FAILURE","2023-04-03T13:57:40.7238433-05:00[America/Bogota]","0.0","41.33"
