"Story","Title","Result","Date","Stability","Duration (s)"
"The app Loggin","Login exitoso","FAILURE","2023-04-03T13:32:27.1772727-05:00[America/Bogota]","0.0","41.52"
"The app Echo Box","Guardar mensaje","FAILURE","2023-04-03T12:59:52.6701281-05:00[America/Bogota]","0.0","32.01"
