"Story","Title","Result","Date","Stability","Duration (s)"
"Obtener mensaje por clipboard","T","FAILURE","2023-04-03T15:16:21.4414971-05:00[America/Bogota]","0.0","53.09"
"Obtener mensaje por clipboard","mensaje por clipboard","FAILURE","2023-04-03T16:41:20.105484-05:00[America/Bogota]","0.0","116.97"
